source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,338,172,40,126,2810720.55,985871.26,15010165.21
2009,402,179,41,182,2865705.71,1014318.51,23556822.84
2010,381,175,27,179,2854859.85,669179.19,29012155.90
2011,385,202,33,150,3360351.09,820032.97,23744893.07
2012,313,150,23,140,2392008.73,569724.85,27092453.85
2013,271,124,15,132,2012551.99,370135.35,24937153.11
2014,273,109,17,147,1761256.29,422626.03,29376860.16
2015,291,104,31,156,1749218.03,768831.99,26949128.06
2016,260,115,27,118,1814607.67,670299.18,10132354.80
2017,210,84,20,106,1354116.19,497345.66,13460230.03
