source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,571,257,314,4549992.83,211912555.32
2009,556,291,265,5190248.04,125827023.92
2010,481,244,237,4417230.50,80712109.49
2011,414,209,205,3660167.18,47983653.39
2012,332,167,165,2945958.02,796082792.42
2013,312,166,146,2923278.59,112282950.50
2014,355,155,200,2817598.43,65932978.24
2015,323,154,169,2614027.54,69117371.60
2016,358,157,201,2721275.85,234879891.60
2017,323,159,164,2731887.27,503999485.91
