owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2016,1,1,0
atssc,2017,1,1,0
cbsa,2014,1,1,0
cbsa,2016,1,1,0
cc,2014,1,1,0
cc,2015,1,1,0
cc,2016,1,1,0
ced,2010,1,1,0
cnsc,2008,3,3,0
cnsc,2009,1,1,0
cnsc,2010,1,1,0
cra,2011,1,1,0
cra,2014,2,1,1
csc,2013,1,1,0
csc,2014,2,1,1
dfo,2014,1,1,0
dfo,2017,1,1,0
dnd,2008,1,1,0
dnd,2009,3,3,0
dnd,2010,4,2,2
dnd,2011,2,1,1
dnd,2012,1,0,1
dnd,2013,3,2,1
dnd,2014,3,3,0
dnd,2015,8,6,2
dnd,2016,1,1,0
ec,2010,1,1,0
ec,2011,1,0,1
ec,2012,1,0,1
elections,2016,1,1,0
elections,2017,1,0,1
esdc,2008,4,4,0
esdc,2009,4,4,0
esdc,2010,28,28,0
esdc,2011,6,6,0
esdc,2012,7,7,0
fcac,2012,1,1,0
fcac,2015,1,1,0
fcac,2017,1,1,0
fin,2010,1,1,0
fin,2011,1,1,0
fin,2012,1,1,0
fin,2013,1,1,0
fin,2014,2,2,0
fin,2015,4,1,3
fin,2016,4,0,4
fin,2017,1,0,1
fintrac,2009,1,1,0
fja,2011,2,2,0
fja,2012,1,1,0
fja,2013,2,1,1
fja,2014,3,2,1
fja,2015,2,1,1
fja,2016,2,2,0
fja,2017,3,3,0
gac,2008,4,4,0
gac,2010,3,3,0
gac,2011,2,2,0
gac,2013,3,1,2
gac,2014,2,2,0
gac,2015,1,0,1
gac,2016,1,0,1
gac,2017,2,0,2
hc,2014,1,1,0
hc,2016,1,1,0
ic,2010,1,1,0
ic,2011,1,1,0
ic,2013,1,1,0
ic,2017,1,1,0
ircc,2010,1,1,0
ircc,2014,1,1,0
neb,2016,1,1,0
neb,2017,1,1,0
nrcan,2014,2,2,0
nserc,2017,1,1,0
oag,2017,2,2,0
osgg,2016,1,1,0
pc,2012,2,2,0
pch,2009,1,1,0
pch,2010,1,1,0
pch,2013,1,1,0
pch,2014,2,2,0
pch,2015,1,1,0
pch,2016,3,3,0
pch,2017,3,3,0
pco,2008,1,1,0
pco,2010,1,1,0
pco,2013,3,1,2
pco,2016,1,0,1
pco,2017,1,0,1
phac,2014,1,1,0
phac,2016,2,2,0
ps,2009,1,1,0
ps,2011,1,1,0
ps,2012,1,1,0
ps,2014,2,2,0
ps,2017,2,1,1
pspc,2009,4,4,0
pspc,2010,7,4,3
pspc,2011,1,1,0
pspc,2012,1,1,0
pspc,2015,3,3,0
pspc,2016,1,1,0
rcmp,2008,3,3,0
rcmp,2009,6,6,0
rcmp,2010,1,1,0
rcmp,2011,4,4,0
rcmp,2012,1,1,0
rcmp,2013,1,1,0
rcmp,2014,1,0,1
rcmp,2015,2,1,1
rcmp,2016,3,1,2
rcmp,2017,1,1,0
ssc,2012,5,4,1
ssc,2013,14,11,3
ssc,2014,11,4,7
ssc,2015,4,3,1
ssc,2016,8,5,3
ssc,2017,16,8,8
stats,2008,1,1,0
stats,2009,1,1,0
stats,2014,1,1,0
tbs,2011,1,1,0
tbs,2012,2,0,2
tbs,2014,2,1,1
tbs,2016,1,1,0
tc,2011,1,1,0
vac,2013,3,2,1
