source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,1348,658,134,556,10620472.97,3318634.66,131818895.71
2009,2201,864,173,1164,13842352.14,4276232.32,567007464.67
2010,1894,779,166,949,12604175.76,4108062.77,893749520.12
2011,1752,744,148,860,12415106.81,3661494.40,848894326.79
2012,1244,527,122,595,8738789.77,3019116.34,354270803.12
2013,1136,388,143,605,6462259.45,3529738.98,322121901.05
2014,1131,367,106,658,6169485.50,2627063.76,745157833.52
2015,1120,302,106,712,5077710.90,2625453.79,229256110.57
2016,1169,345,104,720,5606168.76,2581590.30,2394148069.94
2017,927,283,100,544,4528571.64,2479143.13,117278786.97
