source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,9768,4307,599,4862,70183965.34,14851614.40,1297776398.48
2009,8634,3976,522,4136,64654770.07,12941782.27,2012096866.19
2010,8770,4021,585,4164,65360487.11,14504299.40,5203953722.73
2011,7244,3381,553,3310,54884965.65,13704503.35,4345754407.87
2012,5915,2820,400,2695,45713931.45,9903929.62,3640591353.63
2013,5229,2569,323,2337,41455251.25,8000348.85,1668989253.51
2014,4998,2333,317,2348,37595594.57,7859107.64,2123876235.79
2015,4685,2149,215,2321,34216093.33,5334776.63,10773508921.15
2016,5335,2306,290,2739,36261001.51,7191945.11,3134481549.95
2017,5669,2441,297,2931,38525066.16,7373987.29,2513827757.97
