source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,439,218,35,186,3541229.44,865427.00,32745632.95
2009,620,294,55,271,4804045.61,1361188.47,75730198.52
2010,632,308,54,270,4929063.12,1336021.13,52054777.63
2011,463,197,33,233,3117472.46,818390.07,106616460.74
2012,241,101,15,125,1571085.29,372309.30,23813626.70
2013,399,174,23,202,2844835.00,568003.96,33833663.20
2014,284,137,9,138,2151457.44,223138.53,39189114.35
2015,395,200,19,176,3260981.83,465947.33,50262699.97
2016,272,125,15,132,2146545.59,371861.85,52120408.78
2017,245,104,17,124,1704112.90,420469.84,24881305.10
